tags,f1_c1,f1_c2,f2_c1,f2_c2,f3_c1,f3_c2,f4_c1,f4_c2
leighton,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
four,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0
protest,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0
woods,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
entropy,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
scouted,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
aggression,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
increase,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
feeding,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
pointing,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
crises,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
slipping,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
under,1.0,1.0,1.0,1.0,2.0,10.0,2.0,1.0
hermann,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
chill,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
sway,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jay,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
sinking,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
risk,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0
downstream,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
rise,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
distort,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
every,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
updates,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
upstream,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
bringing,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
vast,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
school,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
publicly,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
skills,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
cause,3.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0
math,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
swallowed,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sleep,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
fairfax,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
heading,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
triumph,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
favoured,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
dwindled,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
tortugas,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
force,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
diverting,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
maneuver,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraulein,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
japanese,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
stiffens,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
holdalls,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
street,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
n,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
tactile,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
even,3.0,2.0,82.0,24.0,1.0,1.0,6.0,2.0
beahoram,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
dangled,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
wreck,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
religious,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
specification,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
cooking,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contributed,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
fingers,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
supplied,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
kent,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dejection,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
lights,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
above,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0
conduct,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
new,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
reluctant,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
ever,1.0,1.0,2.0,6.0,1.0,1.0,3.0,2.0
told,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
kicked,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
