tags,f1_c1,f1_c2,f2_c1,f2_c2,f3_c1,f3_c2,f4_c1,f4_c2
writings,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05
institutionalised,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
supernova,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
tosevite,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
sonja,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
four,0.000133714419429,0.000497166152928,0.000267428838857,3.31444101952e-05,0.000267428838857,3.31444101952e-05,0.000100285814572,0.000165722050976
kukumbona,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
woods,3.34286048572e-05,0.000132577640781,3.34286048572e-05,0.000132577640781,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,6.62888203904e-05
clotted,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
hanging,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,6.62888203904e-05,5.01429072858e-05,3.31444101952e-05
plaudits,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
ercole,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
centimeter,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
deport,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
aggression,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,0.000284143141286,3.31444101952e-05,0.000117000117,3.31444101952e-05
cherrie,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
looking,0.000267428838857,0.000165722050976,0.000401143258286,0.000430877332538,5.01429072858e-05,9.94332305857e-05,0.000183857326714,0.000198866461171
augustine,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
attracted,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
sprague,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
chatter,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
rouse,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
megaliths,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
parroting,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
mutinies,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
demoted,5.01429072858e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
hermann,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
lord,3.34286048572e-05,3.31444101952e-05,5.01429072858e-05,6.62888203904e-05,3.34286048572e-05,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05
flicking,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
sinking,5.01429072858e-05,6.62888203904e-05,0.000300857443715,0.000232010871367,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,6.62888203904e-05
shielding,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
kent,3.34286048572e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
jarndyce,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
gurgeh,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
rashly,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
regional,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
dell,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05
appropriation,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
tantalizing,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
foul,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,6.68572097144e-05,3.31444101952e-05
stabbed,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05
screaming,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05
disturb,0.000167143024286,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,6.68572097144e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
recollections,1.67143024286e-05,6.62888203904e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
